HUD_unit_occupancy_rate,asian_perc,average_Jan_temperature,average_summer_temperature,black_perc,city_or_urban,coc_number,federal_funding_change,female_perc,gini_coefficient_2016,high_housing_density,hisp_perc,house_price_index_2009,log_median_rent,medicare_reimbursements_per_enrollee,migration_4_year_change,net_migration,number_eviction,p0_19_perc,p65_plus_perc,pacisl_perc,percentage_excessive_drinking,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,poverty_rate,proportion_one_person_households,rate_unemployment,rental_vacancy_rate,share_HUD_units,share_built_before_1940,share_no_bachelors,share_overcrowded_units_2016,share_renters_2016,share_under_18_with_single_parent,share_veteran_status,shelt_homeless_rate,suburban,total_Jan_precipitation,total_annual_precipitation,total_federal_funding,total_homeless_rate,total_population,unsht_homeless_rate,utility_costs,year
99.0,0.0939517647691811,13.8000001907349,60.7999992370605,0.05381066394060045,1,AK-500,-0.593490362167358,0.48962929086409124,42.0100021362305,0,0.0899669105778543,11.7436473396041,2.43886280059814,8.75152,-0.849201798439026,-3389,0,0.26916092757989885,0.0991404820832885,0.024386635101689445,0.193316832184792,0.153343152999878,0.21014816284179702,7.09808444976807,0.250464401245117,0.055559120178222704,4.81721210479736,3.45132637023926,0.366994917392731,0.65634147644043,0.041174058914184596,0.39727920532226596,0.23379077911377,0.145351257324219,32.71952006886904,0,1.71000003814697,16.5,29.36677,37.93177660604756,297376,5.212256537178521,8.5,2017
99.0,0.040103929788853215,13.8000001907349,60.7999992370605,0.019529614135892253,0,AK-501,-1.01311004161835,0.4677515951961742,40.6757011413574,0,0.05572717079518897,9.04271026306481,2.24969911575317,9.97286992457435,-0.466562390327454,149,0,0.27856155408356714,0.10990530140989675,0.0045930842560779565,0.218806326389313,0.133116703033447,0.193645610809326,11.4392566680908,0.25689878463745097,0.0793574953079224,7.00008964538574,1.84200477600098,2.23641037940979,0.755603790283203,0.0929489803314209,0.33922233581543,0.19786558151245098,0.141425180435181,13.01373872555421,0,1.71000003814697,16.5,7.60458,16.143340252979876,444146,3.1296015274256663,14.6077146530151,2017
95.0837097167969,0.016631500299488053,50.9953460693359,80.8743133544922,0.3311471748989358,0,AL-500,3.70820093154907,0.5216768826528589,47.6335334777832,0,0.04084307452139305,-0.852476571257,1.86224758625031,9.3181631810327,-0.0006589146796613,14,591,0.25640977478915833,0.14905843878025926,0.0003109666889978316,0.166727036237717,0.121884155273438,0.24962938308715799,13.066967010498,0.294301300048828,0.053565835952758795,8.24999332427979,4.52810955047607,7.19157886505127,0.6598371124267579,0.012359250783920299,0.317696208953857,0.320775985717773,0.0914955806732178,9.13073331788935,1,6.66987609863281,38.593376159668,89.09627,11.39515518072591,958302,2.2644218628365587,19.4923305511475,2017
87.0008010864258,0.016888911740934924,57.8933601379395,81.9399490356445,0.26680656403598557,1,AL-501,1.80827939510345,0.519669452295372,46.713249206543,0,0.033816386309553456,-8.50700364834503,1.858393907547,8.70952230091538,0.208838671445847,3520,2260,0.2547347921865284,0.16712647482731083,0.0003824147078624785,0.165461212396622,0.125391321182251,0.272319202423096,16.6091709136963,0.28982967376709,0.0622268533706665,19.4248142242432,4.81906032562256,3.68171644210815,0.7454345703125,0.0171273577213287,0.32109203338623,0.336681289672852,0.116479225158691,5.479135100046436,0,12.2966661453247,58.5190124511719,38.51277,9.737113990111848,622361,4.257978890065412,18.8998394012451,2017
95.1786651611328,0.00490077809276796,48.3821029663086,79.4299850463867,0.0903477290548284,0,AL-502,-1.11962008476257,0.5139370589299717,45.1655464172363,0,0.04205621569455335,0.751166709357832,1.36201024055481,8.96719459677906,0.231821924448013,353,430,0.23654547922070088,0.19070812473611196,0.0004712286627661499,0.149407356977463,0.10374693870544399,0.215884666442871,16.5759391784668,0.283292980194092,0.0658960342407227,7.21840572357178,4.34119129180908,5.1500072479248,0.823326568603516,0.0153998792171478,0.277082061767578,0.279593162536621,0.091350154876709,5.013872971831836,0,5.46299886703491,44.7786178588867,4.69366,5.843235418300259,265264,0.8293624464684239,18.803186416626,2017
93.3449249267578,0.020381972745404903,48.5707588195801,80.2383804321289,0.20010879304851148,1,AL-503,-1.95394968986511,0.5087765007015215,46.2489356994629,0,0.056808279538280895,-3.95539117410777,1.72603678703308,9.31920846791925,0.0176678895950317,3196,1065,0.2501201476627979,0.14876833242085657,0.0008555569834398672,0.154150247573853,0.0975128746032715,0.227770805358887,13.5637464523315,0.295809020996094,0.0523860883712769,7.66778564453125,2.90868330001831,3.12073969841003,0.649470138549805,0.0154153943061829,0.301196670532227,0.264177322387695,0.124708290100098,5.932565913976034,0,6.11075925827026,46.1163902282715,7.03494,7.675367176538726,568051,1.7428012625626925,16.0252494812012,2017
92.6790390014648,0.020444576417758053,54.0212821960449,82.377067565918,0.45003594536304814,1,AL-504,-1.3894590139389,0.5204523906271163,46.585376739502,0,0.03250711093051605,-9.36641415506037,1.81595718860626,8.63626435949531,0.419133126735687,-842,2393,0.25898894549849444,0.14431802790193687,0.000510528344742079,0.15961766242981,0.131453723907471,0.28191137313842796,16.829984664917,0.297691402435303,0.055419716835022,6.15701293945313,3.73982715606689,5.37810897827148,0.7191567230224609,0.0154163789749146,0.35287338256835904,0.384663505554199,0.117181072235107,8.178872461684326,0,11.9149255752563,45.0500640869141,21.05613,9.819856426926723,383916,1.6409839652423968,20.5440845489502,2017
92.4656829833984,0.0067304758999389876,49.5590400695801,80.2235412597656,0.1327314673581452,0,AL-505,-0.378100007772446,0.513680216595485,44.6315078735352,0,0.05982115619280049,-6.69455121933841,1.4402779340744,9.84387941052725,0.190820083022118,-296,854,0.247035158633313,0.17674013626194834,0.0005910616229408176,0.147625833749771,0.12391777038574199,0.208745918273926,17.5780467987061,0.272776012420654,0.0610459756851196,8.29626178741455,3.65228581428528,7.55602502822876,0.839371032714844,0.018678879737854,0.287751026153564,0.298012962341309,0.10929745674133301,3.2730831808013017,0,6.98467779159546,37.0890808105469,0.0,5.179733577384584,314688,1.9066503965832824,18.732852935791,2017
87.0,0.01508129647763741,51.9300003051758,81.1566696166992,0.3148553921330994,1,AL-506,-1.16227996349335,0.5180674998303294,46.8600006103516,0,0.03630467030569803,-0.422569360257697,1.80500471591949,9.56617,-0.0420873761177063,982,897,0.26023598762858613,0.1250715040575523,0.00037327541908649327,0.188354909420013,0.12762038230896,0.304221363067627,16.6684455871582,0.276433849334717,0.0565644121170044,6.08100938796997,5.29609155654907,3.09134125709534,0.690326995849609,0.0206700730323792,0.36977569580078096,0.354822692871094,0.0854334259033203,6.641393820110334,0,7.01999998092651,41.0999984741211,2.16199,9.695465430818006,206282,3.054071610707672,17.6000003814697,2017
97.2431411743164,0.009576650956114712,52.2747383117676,80.8351593017578,0.24359422017062307,0,AL-507,0.668720245361328,0.5118213365113946,47.1992301940918,0,0.04034232465837639,-5.5432415985246,1.45131528377533,9.08792771666271,-0.206352651119232,-3364,2402,0.2490569624348839,0.17276326858572677,0.00044826303130965605,0.14692011475563,0.119380750656128,0.241373043060303,20.1657695770264,0.292033252716064,0.0632148599624634,6.95794010162354,3.74700284004211,5.61276292800903,0.8252215576171881,0.0198189043998718,0.305825386047363,0.350276489257813,0.10669750213623001,2.804171744734089,0,9.41318225860596,44.3590316772461,9.16817,5.149969261963568,1483504,2.3457975172294785,19.256778717041,2017
